,Text Content,Customer Name,Customer Number,Annual Cust Prof,CLTV,Category,Consumer Sentiment,State,Region
1,I am still not receiving my bank statements electronically even though I selected that option 2 months ago.  What is wrong with you people? Please make sure this issue is resolved before I receive my April Statement.  Thanks,Customer #1,111111, $150 , $840 ,Complaint,Angry, North Carolina ,South
2,I have to say that I really love the online banking feature on the bank website.  It is so easy to add payees and pay my bills.  It used to take me a good part of Saturday afternoons to pay my bills and then go to the post office.  Now I pay my bills in 15 minutes for the week.  Great job and keep great services like this coming :),Customer #2,111222, $90 , $440 ,Complement,Happy, Florida ,South
3,"I went to the Elm Street branch on Saturday as I often do and the branch was closed.  I saw the branch open hours on the door says ""Saturday - Closed"" .  It would have been nice to have let the customers that use this branch know about this change for Saturdays.   You need to do a better job keeping your customers informed.  Very disappointing.",Customer #3,111333, $176 , $654 ,Complaint,Disappointed, Alabama ,South
4,"What is the bank's policy on making deposits available for use?  Sometimes my total deposit amount is available immediately, other times only part of the deposit is available right away.  Is it based on the amount of the deposit?  Please let me know.  Thanks",Customer #4,111444, $283 ," $1,175 ",Question,Neutral, Mississippi ,South
5,I wanted to let you know that Jane Smith at the Main Street Branch did a great job yesterday helping me with my problem.   I had lost my ATM card and need to travel out of town this evening.  Jane was able to get a new ATM Card sent overnight and it arrived this afternoon.  I can now leave for my trip with my trusty ATM Card.  Great job by Jane.  Please let her Branch Manager know he is lucky to have her.,Customer #5,111555, $209 , $562 ,Complement,Happy, Texas ,South
6,How can I link my HELOC to my checking account?  I got my first HELOC statement and I had to go to the branch to make my payment.  It will be a lot more convenient to just make the payments online from my checking account.  Please let me know.  Thanks,Customer #6,111666, $231 ," $1,032 ",Question,Neutral, Kansas ,Midwest
7,"I can't believe what the bank did to me.  I went to the branch on Tuesday specifically to make  deposit in my checking account to cover my Mortgage Payment that is auto-deducted from my account on Wednesday.  Somehow the bank did not post the deposit.  So on Wednesday night I get an email from the bank stating insufficient funds for my mortgage payment.  On top of that, I wrote 3 checks knowing I had the funds to cover them.  I am sure they will now bounce.  This will be extremely embarrassing to me.   I can't believe how incompetent your bank is.  I am really pissed.   I am probably going to close all my accounts and take my business to a bank that knows what the hell they are doing.  You guys are the worse!!!!",Customer #7,111777, $350 ," $3,000 ",Code Red Complaint,Very Angry, Washington ,South
8,I got locked out of my online account.   Help!!!!,Customer #8,111888, $249 , $667 ,Complaint,Neutral, New Hampshire ,Northeast
9,How come I am not seeing all my accounts linked on the website,Customer #9,111999, $77 , $611 ,Question,Neutral, New Mexico ,West
10,I tried to do the check deposit on my I-phone but it did not work.  What am I doing wrong?,Customer #10,112000, $87 , $799 ,Question,Neutral, Arkansas ,South
11,How come every time I use the ATM it asks what language do I want?  Can't you record that I say English every time?  It is annoying,Customer #11,112111, $140 , $485 ,Question,Angry, Washington ,South
12,I like the new features you put on the yearly summary information - Great Job,Customer #12,112222, $81 , $334 ,Complement,Happy, Rhode Island ,Northeast
13,"The system keeps saying the system is down, try back later.  How much later?",Customer #13,112333, $127 , $919 ,Complaint,Disappointed, Minnesota ,Midwest
14,How do I get to see my Credit Card Statement for October 2014?,Customer #14,112444, $155 , $687 ,Question,Neutral, Nebr aska ,Midwest
