
age: 40~50-unknown_m2-unknown-(have) money market-unknown-travel,22781
age: 40~50-unknown_m2-unknown-(have) money market-unknown-buy car,3311
age: 40~50-unknown_m2-unknown-(have) money market-unknown-inc.savings,906
age: 40~50-unknown_m2-unknown-(have) money market-unknown-unknown,1156
age: 40~50-unknown_m2-unknown-(have) money market-unknown-travel,5969
age: 40~50-unknown_m2-unknown-(have) money market-unknown-single child,692
age: 40~50-unknown_m2-unknown-(have) money market-jobless,7059
age: 40~50-unknown_m2-unknown-(have) money market-part time-travel,396
age: 40~50-unknown_m2-unknown-(have) money market-part time-buy car,316
age: 40~50-unknown_m2-unknown-(have) money market-part time-inc.savings,226
age: 40~50-unknown_m2-unknown-(have) money market-part time-unknown,87
age: 40~50-unknown_m2-unknown-(have) money market-part time-travel,613
age: 40~50-unknown_m2-unknown-(have) money market-part time-single child,245
age: 40~50-unknown_m2-unknown-(have) money market-unknown-travel,446
age: 40~50-unknown_m2-unknown-(have) money market-unknown-buy car,229
age: 40~50-unknown_m2-unknown-(have) money market-unknown-inc.savings,91
age: 40~50-unknown_m2-unknown-(have) money market-unknown-unknown,804
age: 40~50-unknown_m2-unknown-(have) money market-unknown-travel,776
age: 40~50-unknown_m2-unknown-(have) money market-unknown-single child,48
age: 40~50-unknown_m2-unknown-(have) money market-working-travel,3892
age: 40~50-unknown_m2-unknown-(have) money market-working-buy car,3250
age: 40~50-unknown_m2-unknown-(have) money market-working-inc.savings,531
age: 40~50-unknown_m2-unknown-(have) money market-working-unknown,252
age: 40~50-unknown_m2-unknown-(have) money market-working-travel,4876
age: 40~50-unknown_m2-unknown-(have) money market-working-single child,476
age: 40~50-unknown_m2-unknown-(have) money market-unknown-travel,521
age: 40~50-unknown_m2-unknown-(have) money market-unknown-buy car,39
age: 40~50-unknown_m2-unknown-(have) money market-unknown-inc.savings,7
age: 40~50-unknown_m2-unknown-(have) money market-unknown-unknown,8
age: 40~50-unknown_m2-unknown-(have) money market-unknown-travel,536
age: 40~50-unknown_m2-unknown-(have) money market-unknown-single child,219
age: 40~50-unknown_m2-unknown-(have) savings,14262
age: 40~50-unknown_m2-unknown-(have) checking-unknown-travel,434
age: 40~50-unknown_m2-unknown-(have) checking-unknown-buy car,83
age: 40~50-unknown_m2-unknown-(have) checking-unknown-inc.savings,71
age: 40~50-unknown_m2-unknown-(have) checking-unknown-unknown,39
age: 40~50-unknown_m2-unknown-(have) checking-unknown-travel,159
age: 40~50-unknown_m2-unknown-(have) checking-unknown-single child,24
age: 40~50-unknown_m2-unknown-(have) checking-jobless,722
age: 40~50-unknown_m2-unknown-(have) checking-part time-travel,103
age: 40~50-unknown_m2-unknown-(have) checking-part time-buy car,64
age: 40~50-unknown_m2-unknown-(have) checking-part time-inc.savings,76
age: 40~50-unknown_m2-unknown-(have) checking-part time-unknown,57
age: 40~50-unknown_m2-unknown-(have) checking-part time-travel,116
age: 40~50-unknown_m2-unknown-(have) checking-part time-single child,47
age: 40~50-unknown_m2-unknown-(have) checking-unknown-travel,32
age: 40~50-unknown_m2-unknown-(have) checking-unknown-buy car,13
age: 40~50-unknown_m2-unknown-(have) checking-unknown-inc.savings,21
age: 40~50-unknown_m2-unknown-(have) checking-unknown-unknown,93
age: 40~50-unknown_m2-unknown-(have) checking-unknown-travel,33
age: 40~50-unknown_m2-unknown-(have) checking-unknown-single child,6
age: 40~50-unknown_m2-unknown-(have) checking-working-travel,252
age: 40~50-unknown_m2-unknown-(have) checking-working-buy car,304
age: 40~50-unknown_m2-unknown-(have) checking-working-inc.savings,258
age: 40~50-unknown_m2-unknown-(have) checking-working-unknown,25
age: 40~50-unknown_m2-unknown-(have) checking-working-travel,573
age: 40~50-unknown_m2-unknown-(have) checking-working-single child,69
age: 40~50-unknown_m2-unknown-(have) checking-unknown-travel,119
age: 40~50-unknown_m2-unknown-(have) checking-unknown-buy car,20
age: 40~50-unknown_m2-unknown-(have) checking-unknown-inc.savings,13
age: 40~50-unknown_m2-unknown-(have) checking-unknown-unknown,1
age: 40~50-unknown_m2-unknown-(have) checking-unknown-travel,276
age: 40~50-unknown_m2-unknown-(have) checking-unknown-single child,103
age: 40~50-unknown_m2-unknown-(have) debit-unknown-travel,486
age: 40~50-unknown_m2-unknown-(have) debit-unknown-buy car,99
age: 40~50-unknown_m2-unknown-(have) debit-unknown-inc.savings,28
age: 40~50-unknown_m2-unknown-(have) debit-unknown-unknown,130
age: 40~50-unknown_m2-unknown-(have) debit-unknown-travel,172
age: 40~50-unknown_m2-unknown-(have) debit-unknown-single child,31
age: 40~50-unknown_m2-unknown-(have) debit-jobless,636
age: 40~50-unknown_m2-unknown-(have) debit-part time-travel,33
age: 40~50-unknown_m2-unknown-(have) debit-part time-buy car,42
age: 40~50-unknown_m2-unknown-(have) debit-part time-inc.savings,23
age: 40~50-unknown_m2-unknown-(have) debit-part time-unknown,15
age: 40~50-unknown_m2-unknown-(have) debit-part time-travel,61
age: 40~50-unknown_m2-unknown-(have) debit-part time-single child,20
age: 40~50-unknown_m2-unknown-(have) debit-unknown-travel,312
age: 40~50-unknown_m2-unknown-(have) debit-unknown-buy car,239
age: 40~50-unknown_m2-unknown-(have) debit-unknown-inc.savings,92
age: 40~50-unknown_m2-unknown-(have) debit-unknown-unknown,741
age: 40~50-unknown_m2-unknown-(have) debit-unknown-travel,488
age: 40~50-unknown_m2-unknown-(have) debit-unknown-single child,48
age: 40~50-unknown_m2-unknown-(have) debit-working-travel,315
age: 40~50-unknown_m2-unknown-(have) debit-working-buy car,881
age: 40~50-unknown_m2-unknown-(have) debit-working-inc.savings,84
age: 40~50-unknown_m2-unknown-(have) debit-working-unknown,190
age: 40~50-unknown_m2-unknown-(have) debit-working-travel,1400
age: 40~50-unknown_m2-unknown-(have) debit-working-single child,77
age: 40~50-unknown_m2-unknown-(have) debit-unknown-travel,25
age: 40~50-unknown_m2-unknown-(have) debit-unknown-buy car,5
age: 40~50-unknown_m2-unknown-(have) debit-unknown-unknown,1
age: 40~50-unknown_m2-unknown-(have) debit-unknown-travel,39
age: 40~50-unknown_m2-unknown-(have) debit-unknown-single child,22
age: 40~50-unknown_m2-unknown-(have) mortgage-unknown-travel,3948
age: 40~50-unknown_m2-unknown-(have) mortgage-unknown-buy car,721
age: 40~50-unknown_m2-unknown-(have) mortgage-unknown-inc.savings,154
age: 40~50-unknown_m2-unknown-(have) mortgage-unknown-unknown,201
age: 40~50-unknown_m2-unknown-(have) mortgage-unknown-travel,2369
age: 40~50-unknown_m2-unknown-(have) mortgage-unknown-single child,189
age: 40~50-unknown_m2-unknown-(have) mortgage-jobless,7344
age: 40~50-unknown_m2-unknown-(have) mortgage-part time-travel,198
age: 40~50-unknown_m2-unknown-(have) mortgage-part time-buy car,239
age: 40~50-unknown_m2-unknown-(have) mortgage-part time-inc.savings,122
age: 40~50-unknown_m2-unknown-(have) mortgage-part time-unknown,52
age: 40~50-unknown_m2-unknown-(have) mortgage-part time-travel,526
age: 40~50-unknown_m2-unknown-(have) mortgage-part time-single child,175
age: 40~50-unknown_m2-unknown-(have) mortgage-unknown-travel,120
age: 40~50-unknown_m2-unknown-(have) mortgage-unknown-buy car,74
age: 40~50-unknown_m2-unknown-(have) mortgage-unknown-inc.savings,23
age: 40~50-unknown_m2-unknown-(have) mortgage-unknown-unknown,226
age: 40~50-unknown_m2-unknown-(have) mortgage-unknown-travel,189
age: 40~50-unknown_m2-unknown-(have) mortgage-unknown-single child,13
age: 40~50-unknown_m2-unknown-(have) mortgage-working-travel,1863
age: 40~50-unknown_m2-unknown-(have) mortgage-working-buy car,2561
age: 40~50-unknown_m2-unknown-(have) mortgage-working-inc.savings,395
