"Current Date";"Current Time";"Last Action";"Weather";"Transaction Amount";"Merchant Type";"Last SN message";"Last SN activity time";"Upcomming event";"Event time";"Current Location lng";"Current Location lat";"Previous Location lng";"Previous Location lat";"Map Zoom";"Event Location lng";"Event Location lat";"Home Location lng";"Home Location lat";"Latest SMS";"Opportunity Message"
"23-10-2015";"08:05 AM";"Transaction";"Sunny";"$ 13.98";"Airport Mixed Store";"Back to New York! Back home.";"07:50 AM";"The Nutcracker opera";"05:30 PM";"-73.7781391";"40.6413762";"49.0096906";"2.5479245";"14";"-73.9855873";"40.7724407";"-73.9826006";"40.7659873";"";""
"23-10-2015";"08:05 AM";"<hl>Transaction</hl>";"Sunny";"$ 13.98";"<hl>Airport Mixed Store</hl>";"Back to New York! Back home.";"07:50 AM";"The Nutcracker opera";"05:30 PM";"-73.7781391";"40.6413762";"49.0096906";"2.5479245";"14";"-73.9855873";"40.7724407";"-73.9826006";"40.7659873";"Hey! Are you looking for taxi? We have a unique offer for you! Response to this message, get Yellow Cab right to your doors now and get free next trip.";"Opportunity detected<br><br><i>System detect an opportunity to offer taxi service</i>"
"23-10-2015";"11:30 AM";"Twitter feed";"Sunny";"$ 25.00";"Taxi";"Got a cashback for taxi from Airport. Just in time. Good job, guys!";"09:15 AM";"The Nutcracker opera";"05:30 PM";"-73.9826006";"40.7659873";"49.0096906";"2.5479245";"17";"-73.9855873";"40.7724407";"-73.9826006";"40.7659873";"";""
"23-10-2015";"<hl>11:30 AM</hl>";"Twitter feed";"Sunny";"$ 25.00";"Taxi";"Got next free taxi trip. Good job, guys!";"09:15 AM";"The Nutcracker opera";"<hl>05:30 PM</hl>";"-73.9826006";"40.7659873";"49.0096906";"2.5479245";"14";"-73.9855873";"40.7724407";"-73.9826006";"40.7659873";"We just thought you might be interested in nearest grocery stores where you can earn additional bonus points. Here is the list...";"Opportunity detected<br><br><i>System detect an opportunity to offer bonus points in partner's store</i>"
"23-10-2015";"1:05 PM";"Transaction";"Cloudy";"$ 168.31";"Grocery";"Found a new grocery store near my home! Going to take a look.";"11:55 AM";"The Nutcracker opera";"05:30 PM";"-73.9828726";"40.76836";"49.0096906";"2.5479245";"14";"-73.9855873";"40.7724407";"-73.9826006";"40.7659873";"";""
"23-10-2015";"<hl>4:30 PM</hl>";"<hl>Facebook like<hl>";"Cloudy";"$ 168.31";"Grocery";"<hl>Liked: Mary Jane is going to <i>The Nutcracker opera</i></hl>";"3:50 PM";"<hl>The Nutcracker opera</hl>";"<hl>05:30 PM</hl>";"-73.9826006";"40.7659873";"49.0096906";"2.5479245";"14";"-73.9855873";"40.7724407";"-73.9826006";"40.7659873";"Don't miss a chance to make your beloved happy. Respond to this messgae with address and time, and we will deliver there a bouquet of 13 roses. We will withdraw $10 right from your bank account automatically. 33 Flowers and your bank.";"Opportunity detected<br><br><i>System detect an opportunity to offer flowers delivery service</i>"
"23-10-2015";"4:30 PM";"Facebook like";"Cloudy";"$ 168.31";"Grocery";"Liked: Mary Jane is going to <i>The Nutcracker opera</i>";"3:50 PM";"The Nutcracker opera";"05:30 PM";"-73.9855873";"40.7724407";"49.0096906";"2.5479245";"16";"-73.9855873";"40.7724407";"-73.9826006";"40.7659873";"";""
"23-10-2015";"09:05 PM";"Transaction";"Cloudy";"$ 79.61";"Restraunt";"Liked: Mary Jane is going to <i>The Nutcracker opera</i>";"3:50 PM";"";"-";"-73.97205547389679";"40.76279311745006";"49.0096906";"2.5479245";"14";"-73.9855873";"40.7724407";"-73.9826006";"40.7659873";"";""
"23-10-2015";"<hl>09:05 PM</hl>";"<hl>Transaction</hl>";"<hl>Raining</hl>";"$ 79.61";"<hl>Restraunt</hl>";"Liked: Mary Jane is going to <i>The Nutcracker opera</i>";"3:50 PM";"";"-";"-73.97205547389679";"40.76279311745006";"49.0096906";"2.5479245";"14";"-73.9855873";"40.7724407";"-73.9826006";"40.7659873";"Hey, if you need a taxi just answer to this text back to this message with your final distanation.";"Opportunity detected<br><br><i>System detect an opportunity to offer taxi service</i>"
"23-10-2015";"10:05 PM";"Facebook activity";"Raining";"$ 79.61";"Restraunt";"I made it! I made her a proposal and she said YES! I am the happiest man alive! #engaged";"10:55 PM";"";"-";"-73.9826006";"40.7659873";"49.0096906";"2.5479245";"14";"-73.9855873";"40.7724407";"-73.9826006";"40.7659873";"";""
"24-10-2015";"08:05 AM";"Facebook activity";"Raining";"$ 79.61";"Restraunt";"<hl>I made it! I made her a proposal and she said YES! I am the happiest man alive! #engaged</hl>";"10:56 PM";"";"-";"-73.9826006";"40.7659873";"49.0096906";"2.5479245";"14";"-73.9855873";"40.7724407";"-73.9826006";"40.7659873";"If you are planning a travel now is the best time to join our Loyal Traveler and get your amazing discounts.";"Opportunity detected<br><br><i>System detect an opportunity to offer partner airline service</i>"
