category,age,income,education,job,creditScore,balanceDeposite,mortgage,studentLoan,loan,loanDeposit,checking,moneyMarket
3,37,2154.407968889985,2,2,71.98084964245756,9984.941910609135,27509.69232437651,0.0,5266.117316641252,3994.3734551718167,429.0841972468342,193.54412465037382
4,59,2714.66855148632,3,4,89.43232722318109,18752.268589618834,10886.30089274679,0.0,10106.115480150229,7870.531504436229,578.266266066496,106.86858488092057
2,30,1080.1508663613095,2,3,41.53994956412261,5352.755143983039,53674.31994558293,5094.706835481242,928.722974468223,818.6548032346876,202.11115086399926,463.015443196108
2,26,1028.0751632033011,2,3,36.9658595442266,4892.171486670822,50434.07418816235,4550.3065444968925,1087.4089854114957,927.7176733799841,209.2162272605763,463.6079971017308
5,64,457.3451468309728,2,3,18.81870472113859,15229.248145083675,0.0,0.0,1854.7097386888652,1445.560982757368,493.6390990631675,301.3212966419035
5,65,456.65021076177584,1,3,21.82428053336566,14958.823666447139,0.0,0.0,1962.5501378990152,1626.9552474964626,508.6489056413806,295.3860552335579
1,22,480.07617204478856,0,3,9.13526543353623,106.39001490433938,0.0,10944.927402640731,0.0,0.0,0.0,0.0
2,25,1014.765931136204,2,3,36.05389514097334,5401.925106821386,51534.68656718005,5114.43055559209,1038.8860183552642,851.8658807566088,216.31571648384556,497.88156851582704
5,74,475.0248993966078,1,3,21.040102744155313,16251.09678334909,0.0,0.0,1890.406936595959,1556.3035396786217,495.8948964313046,289.31790374728064
3,33,2143.423490886691,2,1,74.80351782960315,9875.746615571048,32938.3155655391,0.0,5095.207094234702,3760.88967962567,419.44012812601693,192.03348382705556
3,32,2067.322559873336,3,4,73.12042439203262,10184.805877743604,28038.536727647275,0.0,5460.29444610497,3681.669620473527,407.9776796392932,187.26401051441766
5,69,507.2330778734074,3,3,18.38357353991528,15084.275358061675,0.0,0.0,2074.9593243082427,1605.7595591387515,520.9081135122535,285.15878391078996
1,18,534.4422289261927,1,1,10.004259975626809,90.89876838829649,0.0,10807.837790163632,0.0,0.0,0.0,0.0
3,32,2087.7050941807893,0,1,64.74920014932196,10158.608438225998,30688.053343841082,0.0,5028.431755319214,4391.088953806308,397.0088196455041,215.96505284802151
1,23,467.4709869850322,0,3,10.65526399517866,94.19398453010461,0.0,9912.350895166455,0.0,0.0,0.0,0.0
1,21,534.712672706894,1,3,9.454070660933274,105.9664828862804,0.0,9214.624999470125,0.0,0.0,0.0,0.0
1,21,493.8390522873036,2,3,10.023245379169646,105.29231395350304,0.0,10309.882758137011,0.0,0.0,0.0,0.0
4,50,3257.453053604328,0,1,82.37710294609255,19429.75282514985,10356.779078467218,0.0,10379.477007893798,8469.206401115123,563.2124351777553,103.4507045041244
4,60,3215.8687809364033,1,0,89.27605810083183,18562.8509224071,9955.871250119504,0.0,10153.713684231516,7617.868525743648,582.1730565874917,103.03069217590576
5,77,535.0220936587297,2,3,21.446777368834606,14887.185484777114,0.0,0.0,1913.3893831048715,1439.6737342269537,455.7917822099301,329.23105499443443
1,23,527.8223731103277,1,3,10.61658126210843,107.76919336180995,0.0,10670.42342521884,0.0,0.0,0.0,0.0
5,62,478.7206473573198,3,3,19.591280713026382,15654.69228445599,0.0,0.0,2083.8662836195786,1591.5772557588691,473.84883868482433,275.5887838984283
1,21,536.054699350245,1,3,9.849487259140528,106.1999578600474,0.0,9191.90482777296,0.0,0.0,0.0,0.0
5,71,479.85924140504164,3,3,21.51531998036495,15437.655534247362,0.0,0.0,2009.8415495315423,1383.627875240154,479.9344284818148,328.73840385205375
3,37,1984.6833889420682,0,4,76.59382791731666,9129.756889231028,32220.455880354013,0.0,5206.866837619633,3800.998402189332,417.69714600835874,183.18499020503046
3,36,1841.3248934624792,2,4,69.54426432656003,9437.708892080798,27149.42825450312,0.0,4506.072938305606,4290.03882484067,370.5107984503936,206.19340405109787
5,60,451.0949913778469,2,3,18.285269831199745,13780.778869183174,0.0,0.0,2187.8976989155267,1527.5771677193673,524.741259643017,295.7823026808809
4,47,2829.206035677603,2,2,89.62515448007106,21696.298216394644,10659.62173140189,0.0,9976.22605672965,7921.15388768794,619.7374162721574,109.52957062490636
3,36,2041.428818940804,1,3,72.90842066003587,9500.384975102621,28342.597436381307,0.0,5099.409216800851,3725.60629308068,420.38546991911613,211.49113054093087
2,28,934.442585041062,1,3,41.866576149155094,4854.773951313547,49166.093537033375,5179.5438745759875,972.1694900772168,835.2556253997733,187.6186868214149,457.8352959501474
5,62,477.4091184921151,2,2,20.0289197871271,16199.870702001786,0.0,0.0,1926.5016621398734,1409.3313825160717,493.34402311033597,298.01750234222646
4,60,2846.3522683467377,0,4,86.74733030703725,18297.15149058132,10964.441367424577,0.0,9149.756361735965,7325.481134032277,557.6211139949058,94.83490187322576
4,51,3169.9401140497653,3,4,90.8235204420437,20062.43716341776,9220.443600874692,0.0,10200.744549104582,8103.920170391827,568.8979141568525,102.9346405947069
3,31,2179.372723198012,2,4,75.50684148121964,9210.597897569412,31143.731008004837,0.0,5231.3524528577,3832.8936955383474,383.77112284527226,200.97596909486515
4,47,3236.143608773882,2,1,96.86840820822346,19970.34459546328,9611.404362310288,0.0,10103.881624228947,7413.2263400545535,546.8931414596948,93.83659151245392
5,68,530.8173378507959,3,0,19.99658767560905,14894.87895022338,0.0,0.0,1987.2091056664813,1517.1595530822176,458.90632084457997,288.8656603018645
3,30,2013.8525871286204,2,3,66.09372095758964,10497.267148705814,30162.22525641834,0.0,4808.491310601633,3886.341100923198,405.68898802389094,195.76823277585103
1,19,495.0287737682733,0,3,10.049490526714944,93.5661393384976,0.0,9316.906249151041,0.0,0.0,0.0,0.0
