State;median_age;per_capita_income
Alabama;38.6;23606
Alaska;33.3;33062
Arizona;36.9;25715
Arkansas;37.8;22883
California;36;30441
Colorado;36.3;32357
Connecticut;40.5;39373
Delaware;39.6;30488
District of Columbia;33.8;45877
Florida;41.6;26582
Georgia;36.1;25615
Hawaii;38.1;29736
Idaho;35.9;23938
Illinois;37.5;30417
Indiana;37.4;25140
Iowa;38.2;28361
Kansas;36.2;27870
Kentucky;38.5;23684
Louisiana;36.1;24800
Maine;44.1;27978
Maryland;38.3;36338
Massachusetts;39.4;37288
Michigan;39.6;26613
Minnesota;37.8;32638
Mississippi;36.7;21036
Missouri;38.5;26126
Montana;39.6;25989
Nebraska;36.2;27446
Nevada;37.4;25773
New Hampshire;42.5;34691
New Jersey;39.4;36593
New Mexico;37.2;23683
New York;38.2;33095
North Carolina;38.3;25774
North Dakota;35.1;33071
Ohio;39.4;26937
Oklahoma;36.2;25229
Oregon;39.3;27646
Pennsylvania;40.7;29220
Rhode Island;39.8;30830
South Carolina;38.8;24596
South Dakota;36.6;26959
Tennessee;38.6;24922
Texas;34.3;27125
Utah;30.5;24877
Vermont;42.8;29178
Virginia;37.7;34052
Washington;37.5;31841
West Virginia;41.9;22714
Wisconsin;39.2;28213
Wyoming;36.6;29698
